Rank,Name,Country,Established,Academic Staff,Number of Students,Minimum Tuition cost,Volumes in the library,Endowment
16, University of Minnesota Twin Cities,us,1851,4823.0,54890.0,15000.0,4133437.0,5366000000.0
17, Purdue University,us,1869,2974.0,52211.0,7500.0,953952.0,4099999999.9999995
18," University of California, Davis",us,1905,2175.0,40848.0,12500.0,2197043.0,2000000000.0
19, University of Toronto,ca,1827,3246.0,64218.0,2500.0,1501361.0,2500000000.0
25, Michigan State University,us,1855,5703.0,52089.0,15000.0,3653771.0,4400000000.0
27, University of North Carolina at Chapel Hill,us,1789,4234.0,32234.0,7500.0,3876572.0,5100000000.0
28, Carnegie Mellon University,us,1900,1483.0,16335.0,50000.0,665370.0,3000000000.0
29, The University of British Columbia,ca,1908,5696.0,44882.0,5000.0,1501361.0,1940000000.0
30, Arizona State University,us,1885,5300.0,57144.0,10000.0,2432432.0,1590000000.0
32, University of Maryland,us,1856,4474.0,40792.0,10000.0,2159225.0,2100000000.0
33," Rutgers, The State University of New Jersey",us,1766,4314.0,68942.0,15000.0,1756429.0,1990000000.0
36, University of Colorado Boulder,us,1876,3547.0,37153.0,12500.0,3089850.0,2100000000.0
38, The University of Arizona,us,1885,3385.0,53187.0,10000.0,2454980.0,1290000000.0
39," University of California, Irvine",us,1965,5343.0,37297.0,12500.0,1757187.0,795890000.0
42, Boston University,us,1869,4309.0,37557.0,50000.0,1304308.0,3500000000.0
43, North Carolina State University,us,1887,2464.0,37873.0,7500.0,1479212.0,2029999999.9999998
44, The University of Utah,us,1850,4858.0,35236.0,7500.0,2636251.0,1640000000.0
46," University of California, Santa Barbara",us,1921,2749.0,26179.0,12500.0,3848817.0,578760000.0
47, McGill University,ca,1821,3476.0,39513.0,2500.0,1501361.0,1460000000.0
48, Georgetown University,us,1789,1500.0,19005.0,50000.0,1839683.0,3600000000.0
49, University of Pittsburgh,us,1787,5396.0,29927.0,20000.0,3542833.0,5680000000.0
51, Tufts University,us,1852,1288.0,13274.0,50000.0,823755.0,2600000000.0
52, University of Nebraska-Lincoln,us,1869,1595.0,23986.0,7500.0,1757277.0,2270000000.0
53, Virginia Polytechnic Institute and State University,us,1872,1395.0,36383.0,12500.0,1229344.0,1700000000.0
54, Oregon State University,us,1868,2103.0,37121.0,10000.0,1118518.0,829900000.0
55, Brigham Young University,us,1875,1264.0,35074.0,5000.0,3936802.0,3080000000.0
56, University of Waterloo,ca,1957,1355.0,40513.0,5000.0,1501361.0,340540000.0
57, Georgia Institute of Technology,us,1885,1309.0,47961.0,12500.0,411568.0,2970000000.0
58, University of Georgia,us,1785,3119.0,40607.0,10000.0,4229493.0,1820000000.0
59, University of Rochester,us,1850,3253.0,12160.0,50000.0,1743680.0,3320000000.0
61, California Institute of Technology,us,1891,300.0,2397.0,50000.0,276273.0,3600000000.0
